epoch,train_loss,val_loss,mIoU,pixel_acc,iou_sky,iou_water,iou_bridge,iou_obstacle,iou_living_obs,iou_background,iou_self,lr,elapsed_s
1,0.44108,0.22333,0.45968,0.93332,0.94226,0.94278,0.00534,1e-05,0.0,0.70075,0.62659,9.755282581475769e-05,84.7
2,0.1647,0.13467,0.50394,0.95548,0.96709,0.97422,0.00279,0.0,0.0,0.76106,0.82242,9.045084971874737e-05,96.4
3,0.12531,0.10306,0.51051,0.95714,0.96971,0.9765,0.01159,0.0,0.0,0.76625,0.8495,7.938926261462366e-05,96.3
4,0.09961,0.0888,0.54093,0.96235,0.97722,0.97993,0.17848,0.0,0.0,0.79156,0.85936,6.545084971874737e-05,96.3
5,0.08601,0.08424,0.53505,0.95948,0.97863,0.97236,0.11844,8e-05,0.0,0.76611,0.90973,4.9999999999999996e-05,96.0
6,0.07118,0.06861,0.56575,0.96719,0.98252,0.98264,0.28739,0.00405,0.0,0.80935,0.89429,3.454915028125263e-05,96.5
7,0.06368,0.06557,0.57506,0.96792,0.98367,0.98028,0.29932,0.04386,0.0,0.81916,0.89914,2.0610737385376345e-05,96.3
8,0.05436,0.05965,0.60249,0.96979,0.9846,0.9824,0.38367,0.1303,0.0,0.82502,0.91141,9.549150281252631e-06,96.4
9,0.0498,0.05957,0.61641,0.97037,0.98452,0.98358,0.40398,0.2033,0.0,0.82597,0.91349,2.447174185242323e-06,96.5
10,0.05025,0.05853,0.61981,0.97026,0.98481,0.98288,0.40954,0.22175,0.0,0.82636,0.91334,0.0,96.6
